Running time table for Fibonacci series calculation

n	Recursive	Iterative	Dynamic
0	0.0000009537	0.0000000000	0.0000011921	
1	0.0000009537	0.0000007153	0.0000000000	
2	0.0000009537	0.0000009537	0.0000011921	
3	0.0000019073	0.0000009537	0.0000011921	
4	0.0000009537	0.0000021458	0.0000028610	
5	0.0000009537	0.0000000000	0.0000009537	
6	0.0000019073	0.0000000000	0.0000007153	
7	0.0000030994	0.0000011921	0.0000009537	
8	0.0000052452	0.0000000000	0.0000011921	
9	0.0000081062	0.0000000000	0.0000009537	
10	0.0000121593	0.0000011921	0.0000019073	
11	0.0000209808	0.0000009537	0.0000009537	
12	0.0000319481	0.0000009537	0.0000021458	
13	0.0000529289	0.0000011921	0.0000009537	
14	0.0000851154	0.0000000000	0.0000009537	
15	0.0001370907	0.0000009537	0.0000021458	
16	0.0002219677	0.0000011921	0.0000019073	
17	0.0003597736	0.0000009537	0.0000016689	
18	0.0005979538	0.0000011921	0.0000019073	
19	0.0009479523	0.0000009537	0.0000021458	
20	0.0015590191	0.0000009537	0.0000019073	
21	0.0022518635	0.0000007153	0.0000021458	
22	0.0035200119	0.0000009537	0.0000021458	
23	0.0053970814	0.0000011921	0.0000016689	
24	0.0081281662	0.0000009537	0.0000021458	
25	0.0117638111	0.0000009537	0.0000021458	
26	0.0171239376	0.0000009537	0.0000019073	
27	0.0246448517	0.0000030994	0.0000028610	
28	0.0388300419	0.0000009537	0.0000011921	
29	0.0628280640	0.0000011921	0.0000019073	
30	0.1017148495	0.0000009537	0.0000019073	
31	0.1646502018	0.0000019073	0.0000009537	
32	0.2681081295	0.0000109673	0.0000088215	
33	0.4330558777	0.0000038147	0.0000030994	
34	0.7029807568	0.0000071526	0.0000057220	
35	1.1345579624	0.0000090599	0.0000061989	
36	1.8291509151	0.0000109673	0.0000071526	
37	2.9533329010	0.0000100136	0.0000057220	
38	4.7789330482	0.0000100136	0.0000052452	
39	7.7307031155	0.0000100136	0.0000050068	
40	12.5875427723	0.0000071526	0.0000057220	
